2020-163-14:20:01  12065 8853 1.5 9365 2908.75 1.75 164.5
2020-163-14:20:05  12051 8891 0.5 9449 2924.25 1 165.75
2020-163-14:20:09  12111 8927 0.5 9485 2916.75 1.25 157.5
2020-163-14:20:13  12087 8903 2.75 9525 2962.25 1.5 166
2020-163-14:20:17  12061 8861 0.75 9565 3001.25 1.5 168.5
2020-163-14:20:21  11961 8793 1.25 9543 2966.75 1.5 169
2020-163-14:20:25  12027 8843 1.75 9611 3030.25 0.75 173.25
2020-163-14:20:29  12061 8891 0.5 9713 3067.25 1.5 171.75
2020-163-14:20:33  11917 8749 1 9801 3091.25 1.25 176
2020-163-14:20:37  12007 8851 1.25 9783 3076.75 2.25 168.25
2020-163-14:20:41  11857 8747 1.5 9845 3083.75 1.75 168.75
2020-163-14:20:45  11823 8759 1 9905 3154.25 1.75 169.25
2020-163-14:20:49  11749 8669 0.75 9879 3183.25 1.5 169.25
2020-163-14:20:53  11881 8775 0.75 9905 3103.25 2.5 178.25
2020-163-14:20:57  11775 8699 1 10027 3152.25 1.75 190.5
2020-163-14:21:01  11679 8611 0.5 10043 3185.25 3 174.25
2020-163-14:21:05  11735 8691 1.25 9969 3202.75 1.75 181.5
2020-163-14:21:09  11501 8595 1.75 10061 3183.75 2 187.75
2020-163-14:21:13  11665 8637 0.75 10085 3218.75 1.5 190.5
2020-163-14:21:17  11531 8569 1.25 10159 3215.25 2.5 194
2020-163-14:21:21  11389 8453 1.25 10149 3244.75 1.5 192.5
2020-163-14:21:25  11345 8457 0.75 10149 3229.25 2.25 196.25
2020-163-14:21:29  11271 8409 1.25 10213 3284.75 2 168
2020-163-14:21:33  11171 8357 1.25 10163 3255.25 1 192.25
2020-163-14:21:37  11099 8303 0.75 10279 3304.75 1.25 199
2020-163-14:21:41  10943 8186.5 1.5 10183 3320.25 0.75 192.5
2020-163-14:21:45  11029 8271 1.25 10213 3324.75 2.25 196.25
2020-163-14:21:49  10769 8095.5 1.5 10313 3364.25 2 198.5
2020-163-14:21:53  10679 8017.5 0.5 10279 3318.25 1.75 202
2020-163-14:21:57  10625 7983.5 0.75 10271 3336.25 2.5 202
2020-163-14:22:01  10595 7951.5 0.75 10337 3361.75 1 215.75
2020-163-14:22:05  10521 7926.5 0.25 10321 3330.75 2.25 194.25
2020-163-14:22:09  10507 7940.5 1 10345 3406.25 2.25 206
2020-163-14:22:13  10311 7745.5 1.5 10389 3386.25 2.5 208.25
2020-163-14:22:17  10263 7748.5 0.5 10407 3404.25 1.75 206.25
2020-163-14:22:21  10125 7675.5 0.75 10341 3432.25 2 219.75
2020-163-14:22:25  10085 7653.5 0.5 10349 3417.75 1 210.25
2020-163-14:22:29  9957 7530.5 1 10335 3483.25 2 214.75
2020-163-14:22:37  9781 7355.5 1.75 10345 3398.25 1.25 206.25
2020-163-14:22:41  9689 7287.5 1.5 10303 3434.25 1 213.5
2020-163-14:22:45  9623 7269.5 2.5 10363 3486.25 1.5 231
2020-163-14:22:49  9593 7240.5 2.25 10287 3442.25 2 224.5
2020-163-14:22:53  9511 7166.5 1.25 10387 3459.25 2 215.25
2020-163-14:22:57  9485 7180.5 0.75 10269 3434.25 1.75 215
2020-163-14:23:01  9289 7015.5 1.5 10277 3465.25 2 227.5
2020-163-14:23:05  9261 6993.5 0.5 10267 3454.75 2.25 221
2020-163-14:23:09  9263 7014.5 0.5 10275 3470.25 1 226.75
2020-163-14:23:13  9113 6875.5 0.75 10169 3399.25 0.75 218.5
2020-163-14:23:17  8961 6763.5 1.25 10103 3416.75 1.75 218
2020-163-14:23:21  8955 6780.5 1.5 10127 3393.75 2.25 227.75
2020-163-14:23:25  8985 6788.5 0.75 10003 3418.25 2.25 221.75
2020-163-14:23:29  8899 6738.5 2.25 9943 3378.75 2.25 227.25
2020-163-14:23:33  8735 6600.5 0.75 9961 3419.75 1.5 220.25
2020-163-14:23:37  8687 6588.5 1 9861 3390.25 1.5 226.25
2020-163-14:23:41  8543 6447.5 1 9903 3414.75 1.75 215
2020-163-14:23:45  8409 6329.5 0.5 9831 3393.75 1.75 226
2020-163-14:23:49  8401 6325.5 1 9801 3343.75 1.5 226.5
2020-163-14:23:53  8385 6343.5 1.5 9657 3326.75 1.75 222
